Name of Satellite  Alternate Names,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Angle,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,new_purpose,new_country,new_year,new_month,new_day,avgDis,new_period,log_period,log_mass,log_dis,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 23 (Remote Sensing Satellite 23),China,China,People's Liberation Army (C41),Military,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,492,513,1.89,0,97.33,94.67,NAN,NAN,NAN,11/14/2014,NAN,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 2C,2014-071A,40305,Military,China,2014,11,14,502.5,2010 - 2020,1.976212377,NaN,2.701136066,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 24 (Remote Sensing Satellite 24),China,China,People's Liberation Army (C41),Military,Earth Observation,NAN,LEO,Sun-Synchronous,0,630,653,-2.95,0,97.91,97.55,NAN,NAN,NAN,11/20/2014,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-072A,40310,Military,China,2014,11,20,641.5,2010 - 2020,1.989227274,NaN,2.807196661,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 25A (Remote Sensing Satellite 25A),China,China,People's Liberation Army (C41),Military,Earth Observation,NAN,LEO,Non-Polar Inclined,0,1089,1097,0.25,0,63.41,107.12,NAN,NAN,NAN,12/10/2014,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2014-080A,40338,Military,China,2014,12,10,1093,2010 - 2020,2.029870564,NaN,3.038620162,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 25B (Remote Sensing Satellite 25B),China,China,People's Liberation Army (C41),Military,Earth Observation,NAN,LEO,Non-Polar Inclined,0,1083,1093,-1.05,0,63.42,107.01,NAN,NAN,NAN,12/10/2014,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2014-080B,40339,Military,China,2014,12,10,1088,2010 - 2020,2.029424364,NaN,3.036628895,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 25C (Remote Sensing Satellite 25C),China,China,People's Liberation Army (C41),Military,Earth Observation,NAN,LEO,Non-Polar Inclined,0,1092,1113,2.7,0,63.4,107.31,NAN,NAN,NAN,12/10/2014,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2014-080C,40340,Military,China,2014,12,10,1102.5,2010 - 2020,2.030640195,NaN,3.042378598,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 26 (Remote Sensing Satellite 26),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,487,491,-0.95,0,97.44,94.39,NAN,NAN,NAN,12/27/2014,NAN,China Academy of Space Tecnology (CAST),China,Taiyuan Launch Center,Long March 4B,2014-088A,40362,Military,China,2014,12,27,489,2010 - 2020,1.974925986,NaN,2.689308859,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 27 (Remote Sensing Satellite 27),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,1201,1213,-2.17,0,100.5,109.4,NAN,NAN,NAN,8/27/2015,NAN,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4C,2015-040A,40878,Military,China,2015,8,27,1207,2010 - 2020,2.039017322,NaN,3.08170727,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 28 (Remote Sensing Satellite 28),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,460,482,1.4,0,97.24,94.02,1040,NAN,NAN,11/8/2015,NAN,CAST/Changchun Light Technology Institute,China,Taiyuan Launch Center,Long March 4B,2015-064A,41026,Military,China,2015,11,8,471,2010 - 2020,1.973220247,3.017033339,2.673020907,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 29 (Remote Sensing Satellite 29),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,628,629,0.04,0,97.85,97.28,1040,NAN,NAN,11/26/2015,NAN,CAST/Changchun Light Technology Institute,China,Taiyuan Launch Center,Long March 4C,2015-069A,41038,Military,China,2015,11,26,628.5,2010 - 2020,1.988023562,3.017033339,2.798305282,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30 (Remote Sensing Satellite 30),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,628,656,1.76,0,98.07,97.57,2700,NAN,NAN,5/15/2016,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2016-029A,41473,Military,China,2016,5,15,642,2010 - 2020,1.989316305,3.431363764,2.807535028,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-1-1 (Remote Sensing Satellite 30-1-1),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,592,599,-1.76,0,35,96.6,NAN,NAN,NAN,9/29/2017,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2017-058A,42945,Military,China,2017,9,29,595.5,2010 - 2020,1.984977126,NaN,2.774881766,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-1-2 (Remote Sensing Satellite 30-1-2),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,592,599,-2.42,0,35,96.6,NAN,NAN,NAN,9/29/2017,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2017-058B,42946,Military,China,2017,9,29,595.5,2010 - 2020,1.984977126,NaN,2.774881766,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-1-3 (Remote Sensing Satellite 30-1-3),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,592,599,2.75,0,35,96.6,NAN,NAN,NAN,9/29/2017,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2017-058C,42947,Military,China,2017,9,29,595.5,2010 - 2020,1.984977126,NaN,2.774881766,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-16,NR (4/20),China,People's Liberation Army (C41),Military,Earth Observation,NAN,LEO,Non-Polar Inclined,0,595,602,2.45,0,35,96.66,NAN,NAN,NAN,3/24/2020,NAN,Innovation Academy for Microsatellites ,China,Xichang Satellite Launch Center,Long March 2C,2020-021A,45460,Military,China,2020,3,24,598.5,2010 - 2020,1.985246791,NaN,2.777064155,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-17,NR (4/20),China,People's Liberation Army (C41),Military,Earth Observation,NAN,LEO,Non-Polar Inclined,0,597,601,-0.49,0,35,96.67,NAN,NAN,NAN,3/24/2020,NAN,Innovation Academy for Microsatellites ,China,Xichang Satellite Launch Center,Long March 2C,2020-021B,45461,Military,China,2020,3,24,599,2010 - 2020,1.985291719,NaN,2.777426822,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-2-1 (Remote Sensing Satellite 30-2-1),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,590,603,-1.41,0,35,96.6,NAN,NAN,NAN,11/26/2017,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2017-075A,43028,Military,China,2017,11,26,596.5,2010 - 2020,1.984977126,NaN,2.775610448,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-2-2 (Remote Sensing Satellite 30-2-2),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,589,603,0.42,0,35,96.6,NAN,NAN,NAN,11/26/2017,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2017-075B,43029,Military,China,2017,11,26,596,2010 - 2020,1.984977126,NaN,2.77524626,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-2-3 (Remote Sensing Satellite 30-2-3),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,589,603,-2.19,0,35,96.6,NAN,NAN,NAN,11/26/2017,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2017-075C,43930,Military,China,2017,11,26,596,2010 - 2020,1.984977126,NaN,2.77524626,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-3-1 (Remote Sensing  Satellite 30-3-1),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,590,602,-2.53,0,35,96.6,NAN,NAN,NAN,12/25/2017,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2017-085A,43081,Military,China,2017,12,25,596,2010 - 2020,1.984977126,NaN,2.77524626,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-3-2 (Remote Sensing Satellite 30-3-2),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,590,602,-2.98,0,35,96.6,NAN,NAN,NAN,12/25/2017,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2017-085B,43082,Military,China,2017,12,25,596,2010 - 2020,1.984977126,NaN,2.77524626,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-3-3 (Remote Sensing Satellite 30-3-3),China,China,People's Liberation Army (C41),Military,Earth Observation,NAN,LEO,Non-Polar Inclined,0,591,602,-1.21,0,35,96.6,NAN,NAN,NAN,12/25/2017,NAN,China Academy of Space Technology  (CAST),China,Xichang Satellite Launch Center,Long March 2C,2017-085C,43083,Military,China,2017,12,25,596.5,2010 - 2020,1.984977126,NaN,2.775610448,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-4-1 (Remote Sensing Satellite 30-4-1),China,China,People's Liberation Army (C41),Military,Earth Observation,NAN,LEO,Non-Polar Inclined,0,591,601,1.43,0,35,96.6,NAN,NAN,NAN,1/25/2018,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2018-011B,43170,Military,China,2018,1,25,596,2010 - 2020,1.984977126,NaN,2.77524626,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-4-2 (Remote Sensing Satellite 30-4-2),China,China,People's Liberation Army (C41),Military,Earth Observation,NAN,LEO,Non-Polar Inclined,0,591,601,-2.78,0,35,96.6,NAN,NAN,NAN,1/25/2018,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2018-011C,43171,Military,China,2018,1,25,596,2010 - 2020,1.984977126,NaN,2.77524626,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-4-3 (Remote Sensing Satellite 30-4-3),China,China,People's Liberation Army (C41),Military,Earth Observation,NAN,LEO,Non-Polar Inclined,0,591,602,-1.34,0,35,96.6,NAN,NAN,NAN,1/25/2018,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2018-011D,43172,Military,China,2018,1,25,596.5,2010 - 2020,1.984977126,NaN,2.775610448,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-5-1 (Remote Sensnig Satellite 30-5-1),NR (11/19),China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,589,604,-3.12,0,35,96.6,NAN,NAN,NAN,7/26/2019,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2019-045A,44449,Military,China,2019,7,26,596.5,2010 - 2020,1.984977126,NaN,2.775610448,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-5-2 (Remote Sensing Satellite 30-5-2),NR (11/19),China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,588,605,-0.5,0,35,96.6,NAN,NAN,NAN,7/26/2019,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2019-045B,44450,Military,China,2019,7,26,596.5,2010 - 2020,1.984977126,NaN,2.775610448,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 30-5-3 (Remote Sensing Satellite 30-5-3),NR (11/19),China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,587,603,0.65,0,35,96.6,NAN,NAN,NAN,7/26/2019,NAN,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 2C,2019-045C,44451,Military,China,2019,7,26,595,2010 - 2020,1.984977126,NaN,2.774516966,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 31-1-1 (Remote Sensing Satellite  31-1-1),China,China,People's Liberation Army (C41),Military,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,1086,1099,-2.84,0,63.4,107.1,NAN,NAN,NAN,4/10/2018,NAN,China  Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2018-034A,43275,Military,China,2018,4,10,1092.5,2010 - 2020,2.029789471,NaN,3.038421446,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 31-1-2 (Remote Sensing Satellite  31-1-2),China,China,People's Liberation Army (C41),Military,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,1088,1099,2.11,0,63.4,107.1,NAN,NAN,NAN,4/10/2018,NAN,China  Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2018-034B,43276,Military,China,2018,4,10,1093.5,2010 - 2020,2.029789471,NaN,3.038818787,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 31-1-3 (Remote Sensing Satellite 31-1-3),China,China,People's Liberation Army (C41),Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1087,1098,-0.75,0,63.4,107.1,NAN,NAN,NAN,4/10/2018,NAN,China  Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2018-034C,43277,Military,China,2018,4,10,1092.5,2010 - 2020,2.029789471,NaN,3.038421446,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 32-1-1 (Remote Sensing Satellite 32-1-1),China,China,People's Liberation Army (C41),Military,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,689,704,-2.45,0,98.2,98.7,NAN,NAN,NAN,10/8/2018,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2018-077A,43642,Military,China,2018,10,8,696.5,2010 - 2020,1.994317153,NaN,2.842921121,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 4 (Remote Sensing Satellite 4),China,China,People's Liberation Army (C41),Government,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,635,658,-0.3,0,97.8,97.7,2700,NAN,NAN,12/1/2008,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2008-061A,33446,Government,China,2008,12,1,646.5,2000 - 2009,1.989894564,3.431363764,2.810568529,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 6 (Remote Sensing Satellite 6  Jian Bing 7-A),China,China,People's Liberation Army (C41),Government,Earth Observation,NAN,LEO,Sun-Synchronous,0,511,512,-1.52,0,97.3,94.9,1800,NAN,NAN,4/22/2009,NAN,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 2C,2009-021A,34839,Government,China,2009,4,22,511.5,2000 - 2009,1.977266212,3.255272505,2.708845638,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 7 (Remote Sensing Satellite 7),China,China,People's Liberation Army (C41),Government,Earth Observation,NAN,LEO,Sun-Synchronous,0,628,665,-1.29,0,98,97.7,2700,NAN,NAN,12/9/2009,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2009-069A,36110,Government,China,2009,12,9,646.5,2000 - 2009,1.989894564,3.431363764,2.810568529,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 8 (Remote Sensing Satellite 8),China,China,People's Liberation Army (C41),Government,Earth Observation,NAN,LEO,Sun-Synchronous,0,1192,1205,1.69,0,100.3,109.4,NAN,NAN,NAN,12/15/2009,NAN,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 4C,2009-072A,36121,Government,China,2009,12,15,1198.5,2000 - 2009,2.039017322,NaN,3.078638038,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 9A (Remote Sensing Satellite 9A),China,China,People's Liberation Army (C41),Government,Earth Observation,NAN,LEO,Non-Polar Inclined,0,1017,1164,2.65,0.01,63.4,107.1,NAN,NAN,NAN,3/5/2010,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2010-009A,36413,Government,China,2010,3,5,1090.5,2010 - 2020,2.029789471,NaN,3.03762567,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 9B (Remote Sensing Satellite 9B),NR,China,People's Liberation Army (C41),Government,Earth Observation,NAN,LEO,Non-Polar Inclined,0,1017,1164,0.84,0.01,63.4,107.1,NAN,NAN,NAN,3/5/2010,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2010-009B,36414,Government,China,2010,3,5,1090.5,2010 - 2020,2.029789471,NaN,3.03762567,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 9C (Remote Sensing Satellite 9C),NR,China,People's Liberation Army (C41),Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,1017,1164,-2.17,0.01,63.4,107.1,NAN,NAN,NAN,3/5/2010,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2010-009C,36415,Government,China,2010,3,5,1090.5,2010 - 2020,2.029789471,NaN,3.03762567,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan-30-18,NR (4/20),China,People's Liberation Army (C41),Military,Earth Observation,NAN,LEO,Non-Polar Inclined,0,591,602,2.84,0,35,96.61,NAN,NAN,NAN,3/24/2020,NAN,Innovation Academy for Microsatellites ,China,Xichang Satellite Launch Center,Long March 2C,2020-021C,45462,Military,China,2020,3,24,596.5,2010 - 2020,1.985022082,NaN,2.775610448,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan-32-1-2 (Remote Sensing Satellite 32-1-2),China,China,People's Liberation Army (C41),Military,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,681,698,2.96,0,98.2,98.7,NAN,NAN,NAN,10/8/2018,NAN,China Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2018-077B,43643,Military,China,2018,10,8,689.5,2010 - 2020,1.994317153,NaN,2.838534271,,,,,,,,,,,,,,,,,,,,,,,,,,
Yinhe 1 (Galaxy 1  GS-SparkSat-03),NR (3/20),China,GalaxySpace,Commercial,Communications,NAN,LEO,Polar,0,621,637,-0.07,0,86.4,97.3,227,NAN,NAN,1/16/2020,NAN,GalaxySpace,China,Jiuquan Satellite Launch Center,Kuaizhou 1A,2020-004A,45024,Commercial,China,2020,1,16,629,2010 - 2020,1.98811284,2.356025857,2.798650645,,,,,,,,,,,,,,,,,,,,,,,,,,
Youthsat,India,India,Indian Space Research Organization (ISRO),Government,Space Science,Earth Science,LEO,Sun-Synchronous,0,802,824,2.54,0,98.7,101.2,92,NAN,NAN,4/20/2011,2,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C16,2011-015B,37388,Government,Others,2011,4,20,813,2010 - 2020,2.005180513,1.963787827,2.910090546,,,,,,,,,,,,,,,,,,,,,,,,,,
Yubileiny (Jubilejnyj  Radio Sputnik 30 (RS-30)),Russia,Russia,Research Laboratory of Aerospace Technology (NILAKT ROSTO),Civil,Technology Development,Earth Science,LEO,Polar,0,1479,1508,-0.29,0,82.5,115.8,45,NAN,NAN,5/23/2008,NAN,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2008-025A,32953,Civil,Russia,2008,5,23,1493.5,2000 - 2009,2.063708559,1.653212514,3.174205227,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunhai-1,China,China,Shanghai Academy of Spaceflight Technology (SAST),Government,Earth Observation,NAN,LEO,Sun-Synchronous,0,747,798,-1.54,0,98.35,100.2,NAN,NAN,NAN,11/11/2016,NAN,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D,2016-068A,41857,Government,China,2016,11,11,772.5,2010 - 2020,2.000867722,NaN,2.887898488,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunhai-1 2,NR (11/19),China,Shanghai Academy of Spaceflight Technology,Government,Earth Observation,NAN,LEO,Sun-Synchronous,0,782,785,0.84,0,98.6,100.5,NAN,NAN,NAN,9/25/2019,NAN,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D,2019-063A,44547,Government,China,2019,9,25,783.5,2010 - 2020,2.002166062,NaN,2.894039001,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunhai-2 01,China,China,Shanghai Academy of Spaceflight Technology,Government,Earth Observation,Optical Imaging/Automatic Identification System (AIS),LEO,Non-Polar Inclined,0,516,524,2.88,0,50,95.02,NAN,NAN,NAN,12/29/2018,NAN,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D,2018-112A,43909,Government,China,2018,12,29,520,2010 - 2020,1.977815026,NaN,2.716003344,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunhai-2 02,China,China,Shanghai Academy of Spaceflight Technology,Government,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,514,523,3.05,0,50,95.02,NAN,NAN,NAN,12/29/2018,NAN,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D,2018-112B,43910,Government,China,2018,12,29,518.5,2010 - 2020,1.977815026,NaN,2.714748761,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunhai-2 03,China,China,Shanghai Academy of Spaceflight Technology,Government,Earth Observation,NAN,LEO,Non-Polar Inclined,0,512,524,-2.28,0,50,95,NAN,NAN,NAN,12/29/2018,NAN,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D,2018-112C,43911,Government,China,2018,12,29,518,2010 - 2020,1.977723605,NaN,2.71432976,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunhai-2 04,China,China,Shanghai Academy of Spaceflight Technology,Government,Earth Observation,NAN,LEO,Non-Polar Inclined,0,1088,1097,2.1,0,50,107.1,NAN,NAN,NAN,12/29/2018,NAN,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D,2018-112D,43912,Government,China,2018,12,29,1092.5,2010 - 2020,2.029789471,NaN,3.038421446,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunhai-2 05,China,China,Shanghai Academy of Spaceflight Technology,Government,Earth Observation,NAN,LEO,Non-Polar Inclined,0,1090,1098,-2.54,0,50,107.1,NAN,NAN,NAN,12/29/2018,NAN,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D,2018-112E,43913,Government,China,2018,12,29,1094,2010 - 2020,2.029789471,NaN,3.039017322,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunhai-2 06,China,China,Shanghai Academy of Spaceflight Technology,Government,Earth Observation,NAN,LEO,Non-Polar Inclined,0,1092,1098,-0.4,0,50,107.2,NAN,NAN,NAN,12/29/2018,NAN,Shanghai Academy of Spaceflight Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 2D,2018-112G,43915,Government,China,2018,12,29,1095,2010 - 2020,2.030194785,NaN,3.039414119,,,,,,,,,,,,,,,,,,,,,,,,,,
ZA-Aerosat (QB50 - AZ01),Belgium,South Africa,Stellenbosch University,Civil,Earth Science,NAN,LEO,Non-Polar Inclined,0,402,403,-0.56,0,51.6,92.4,4,NAN,NAN,5/18/2017,NAN,Stellenbosch  University,South Africa,International Space Station,Nanorack Deployer,1998-067LU,42713,Civil,Others,2017,5,18,402.5,2010 - 2020,1.965671971,0.602059991,2.604765885,,,,,,,,,,,,,,,,,,,,,,,,,,
ZACUBE-1 (TshepisoSAT),South Africa,South Africa,French South African Institute of Technology/Cape Peninsula University of Technology,Civil,Technology Development/Education,NAN,LEO,Sun-Synchronous,0,592,633,-0.63,0,97.6,97.2,2,NAN,NAN,11/21/2013,NAN,French South African Institute of Technology/Cape Peninsula University of Technology,South Africa,Dombarovsky Air Base,Dnepr,2013-066B,39417,Civil,Others,2013,11,21,612.5,2010 - 2020,1.987666265,0.301029996,2.787106093,,,,,,,,,,,,,,,,,,,,,,,,,,
ZACUBE-2,South Africa,South Africa,French South African Institute of Technology/Cape Peninsula University of Technology,Civil,Earth Observation,NAN,LEO,Sun-Synchronous,0,480,508,-3.12,0,97.3,94.5,4,NAN,NAN,11/27/2018,NAN,French South African Institute of Technology/Cape Peninsula University of Technology,South Africa,Vostochny Cosmodrome,Soyuz 2.1a,2018-111AH,43907,Civil,Others,2018,11,27,494,2010 - 2020,1.975431809,0.602059991,2.693726949,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhangguo Ziyuan 2C (ZY-2C  JB-3C),China,China,China Academy of Space Technology (CAST),Military,Earth Observation,NAN,LEO,Sun-Synchronous,0,555,606,3.05,0,97.2,96.3,NAN,NAN,NAN,11/4/2004,5,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Chang Zheng 4B,2004-044A,28470,Military,China,2004,11,4,580.5,2000 - 2009,1.983626287,NaN,2.763802224,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhangheng 1 (CSES  China Seismo-Electromagnetic Satellite),China,China/Italy,China Earthquake Administration/Italian Institute for Nuclear Physics,Government,Earth Science,NAN,LEO,Sun-Synchronous,0,488,509,-0.71,0,97.3,94.5,730,NAN,NAN,2/2/2018,5,China Earthquake Administration/Italian Institute for Nuclear Physics,China/Italy,Jiuquan Satellite Launch Center,Long March 2D,2018-015C,43194,Government,Others,2018,2,2,498.5,2010 - 2020,1.975431809,2.86332286,2.697665163,,,,,,,,,,,,,,,,,,,,,,,,,,
Zheda Pixing 1B (ZP-1B  Zhejiang University-1B),China,China,Zhejiang University,Civil,Space Science,NAN,LEO,Sun-Synchronous,0,619,653,0.82,0,97.9,97.4,4,NAN,NAN,9/22/2010,NAN,Zhejiang University,China,Jiuquan Satellite Launch Center,Long March 2D,2010-047B,37166,Civil,China,2010,9,22,636,2010 - 2020,1.988558957,0.602059991,2.803457116,,,,,,,,,,,,,,,,,,,,,,,,,,
Zheda Pixing 1C (ZP-1C  Zhejiang University-1B,China,China,Zhejiang University,Civil,Space Science,NAN,LEO,Sun-Synchronous,0,620,653,-1.99,0,97.9,97.5,4,NAN,NAN,9/22/2010,NAN,Zhejiang University,China,Jiuquan Satellite Launch Center,Long March 2D,2010-047C,37167,Civil,China,2010,9,22,636.5,2010 - 2020,1.989004616,0.602059991,2.803798408,,,,,,,,,,,,,,,,,,,,,,,,,,
Zheda Pixing 2A (ZP-2A  ZDP-2A),China,China,Zhejiang University,Civil,Technology Development,NAN,LEO,Sun-Synchronous,0,517,534,1.42,0,97.46,95.15,12,NAN,NAN,9/19/2015,NAN,Zhejiang University,China,Taiyuan Launch Center,Long March 6,2015-049C,40901,Civil,China,2015,9,19,525.5,2010 - 2020,1.978408793,1.079181246,2.72057272,,,,,,,,,,,,,,,,,,,,,,,,,,
